Molecule name,class,dataset,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3
Row0,0,training,1.31178,18.891,27.83407737,0,55.1,55.05477522,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0.5
Row1,0,training,1.8928,48.1784,68.86097673,0,150.245,150.1277259,1,0,2,0,0,0,1,11,27,1,1,0,0,0,0,0,1,0,0,0.4
Row2,0,training,1.2467,35.6934,51.89287772,0,114.212,114.1277259,1,0,0,0,0,0,1,8,24,1,0,1,1,0,1,1,0,0,0,1
Row3,0,training,6.0724,126.9754,184.1595247,18.46,412.638,412.321006,3,0,11,0,2,0,3,30,72,2,2,0,0,0,0,0,2,0,0,0.555555556
Row4,1,training,4.3936,108.6284,150.293348,6.25,329.467,329.2012252,2,0,3,0,1,0,2,25,50,3,2,0,1,0,0,0,2,0,1,0.173913043
Row5,0,training,0.6971,87.5955,142.8943131,95.94,350.396,350.0936427,7,2,5,2,5,2,8,24,42,3,1,2,2,0,2,2,1,0,0,0.4375
Row6,0,training,0.595,59.1734,81.96149556,24.06,212.39,211.9570323,2,2,3,4,2,0,6,10,18,0,0,0,0,0,0,0,0,0,0,0.5
Row7,0,training,1.0076,55.2239,86.63684635,84.63,212.205,212.0797069,6,2,5,2,5,0,6,15,27,1,1,0,0,0,0,0,1,0,0,0.333333333
Row8,0,training,2.2399,96.3201,147.9451544,69.23,342.524,342.2882431,5,1,16,1,3,1,5,24,62,0,0,0,0,0,0,0,0,0,0,0.894736842
Row9,0,training,0.8661,10.077,17.29805945,58.7,42.021,42.00977058,3,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0
Row10,0,training,1.7726,103.5962,173.3390949,208.55,468.425,468.00457,13,4,6,4,9,0,15,31,43,3,3,0,0,1,0,0,2,0,0,0
Row11,0,training,3.77122,107.149,171.5118749,162.92,452.466,452.0348075,10,3,5,3,8,0,12,30,46,3,3,0,0,0,0,0,3,0,0,0.111111111
